priority,url,file,language,page_family,gsc_clicks,gsc_impressions,gsc_position,current_title,current_h1,word_count,primary_keyword,secondary_keywords,serp_pattern_found,example_competitors,online_sources_used,recommended_change
P1,https://anyconverter.io/discount-calculator/,discount-calculator\index.html,en,calculator,0,506,30.39,Discount Calculator Online Free | AnyConverter,Discount Calculator,570,discount calculator,sale price calculator; percent off calculator; price after discount,"Calculator SERPs reward pages with visible formulas, worked examples, definitions, country/unit variations, and trustworthy explanations around the calculator.","Calculator.net, Omni Calculator, Mayo Clinic, CDC/NHLBI, Bankrate, Investor.gov, Wise, Zoho, Moneysmart, Nordea",https://www.calculator.net/ | https://www.omnicalculator.com/ | https://www.mayoclinic.org/healthy-lifestyle/weight-loss/in-depth/calorie-calculator/itt-20402304 | https://www.cdc.gov/bmi/adult-calculator/index.html | https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator | https://www.bankrate.com/calculators.aspx | https://wise.com/us/currency-converter/ | https://www.zoho.com/books/gst-calculator/ | https://moneysmart.gov.au/budgeting/compound-interest-calculator,"Create a concise SEO block with examples, use cases, limitations, FAQs, and related-tool links. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive calculator query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""discount calculator online"" and ""discount calculator formula"" only where natural."
P1,https://anyconverter.io/es/tip-calculator/,es\tip-calculator\index.html,es,calculator,0,67,28.01,Calculadora de Propinas Online Gratis | AnyConverter,Calculadora de Propinas,598,calculadora de propinas,calcular propina; calculadora propina restaurante; dividir cuenta,"Calculator SERPs reward pages with visible formulas, worked examples, definitions, country/unit variations, and trustworthy explanations around the calculator.","Calculator.net, Omni Calculator, Mayo Clinic, CDC/NHLBI, Bankrate, Investor.gov, Wise, Zoho, Moneysmart, Nordea",https://www.calculator.net/ | https://www.omnicalculator.com/ | https://www.mayoclinic.org/healthy-lifestyle/weight-loss/in-depth/calorie-calculator/itt-20402304 | https://www.cdc.gov/bmi/adult-calculator/index.html | https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator | https://www.bankrate.com/calculators.aspx | https://wise.com/us/currency-converter/ | https://www.zoho.com/books/gst-calculator/ | https://moneysmart.gov.au/budgeting/compound-interest-calculator,"Create a localized SEO block with intent-specific examples, common use cases, limitations, and links to closely related tools. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive calculator query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""calculadora de propinas online"" and ""calculadora de propinas formula"" only where natural."
P1,https://anyconverter.io/es/sticky-notes/,es\sticky-notes\index.html,es,productivity,0,43,14.16,Notas Adhesivas Online Gratis | AnyConverter,Notas Adhesivas Online,357,notas adhesivas online,post it online; notas virtuales; notas rapidas online,"Productivity SERPs emphasize immediate use, saved state, focus/timer workflows, templates, reminders, and low-friction task capture.","Pomofocus, PomodoroTimer.online, TomatoTimers, vClock, Online Stopwatch, Habi, HabitBox, Structured, Canva, Any.do, Microsoft To Do, Todoist",https://pomofocus.io/ | https://www.pomodorotimer.online/ | https://www.tomatotimers.com/ | https://vclock.com/timer/ | https://vclock.com/stopwatch/ | https://www.online-stopwatch.com/ | https://habi.app/ | https://habitbox.app/ | https://structured.app/daily-planner | https://www.canva.com/planners/templates/daily/ | https://todoist.com/ | https://to-do.office.com/tasks/,"Create a localized SEO block with intent-specific examples, common use cases, limitations, and links to closely related tools. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive productivity query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""notas adhesivas online"" and ""notas adhesivas online gratis"" only where natural."
P1,https://anyconverter.io/tip-calculator/,tip-calculator\index.html,en,calculator,0,41,27.15,Tip Calculator Online Free | AnyConverter,Tip Calculator,542,tip calculator,gratuity calculator; split bill calculator; restaurant tip calculator,"Calculator SERPs reward pages with visible formulas, worked examples, definitions, country/unit variations, and trustworthy explanations around the calculator.","Calculator.net, Omni Calculator, Mayo Clinic, CDC/NHLBI, Bankrate, Investor.gov, Wise, Zoho, Moneysmart, Nordea",https://www.calculator.net/ | https://www.omnicalculator.com/ | https://www.mayoclinic.org/healthy-lifestyle/weight-loss/in-depth/calorie-calculator/itt-20402304 | https://www.cdc.gov/bmi/adult-calculator/index.html | https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator | https://www.bankrate.com/calculators.aspx | https://wise.com/us/currency-converter/ | https://www.zoho.com/books/gst-calculator/ | https://moneysmart.gov.au/budgeting/compound-interest-calculator,"Create a concise SEO block with examples, use cases, limitations, FAQs, and related-tool links. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive calculator query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""tip calculator online"" and ""tip calculator formula"" only where natural."
P1,https://anyconverter.io/da/todo-list/,da\todo-list\index.html,da,productivity,0,38,21.16,Opgaveliste Online Gratis | AnyConverter,Opgaveliste Online,323,to do liste online,opgaveliste online; gratis to do liste; online opgavestyring,"Productivity SERPs emphasize immediate use, saved state, focus/timer workflows, templates, reminders, and low-friction task capture.","Pomofocus, PomodoroTimer.online, TomatoTimers, vClock, Online Stopwatch, Habi, HabitBox, Structured, Canva, Any.do, Microsoft To Do, Todoist",https://pomofocus.io/ | https://www.pomodorotimer.online/ | https://www.tomatotimers.com/ | https://vclock.com/timer/ | https://vclock.com/stopwatch/ | https://www.online-stopwatch.com/ | https://habi.app/ | https://habitbox.app/ | https://structured.app/daily-planner | https://www.canva.com/planners/templates/daily/ | https://todoist.com/ | https://to-do.office.com/tasks/,"Create a localized SEO block with examples, common use cases, limitations, and links to related tools. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive productivity query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""to do liste online"" and ""to do liste online gratis"" only where natural."
P1,https://anyconverter.io/da/mortgage-calculator/,da\mortgage-calculator\index.html,da,calculator,0,34,24.88,Realkreditberegner Online Gratis | AnyConverter,Realkreditberegner,480,boliglan beregner,realkredit beregner; laneberegner bolig; beregn boliglan,"Calculator SERPs reward pages with visible formulas, worked examples, definitions, country/unit variations, and trustworthy explanations around the calculator.","Calculator.net, Omni Calculator, Mayo Clinic, CDC/NHLBI, Bankrate, Investor.gov, Wise, Zoho, Moneysmart, Nordea",https://www.calculator.net/ | https://www.omnicalculator.com/ | https://www.mayoclinic.org/healthy-lifestyle/weight-loss/in-depth/calorie-calculator/itt-20402304 | https://www.cdc.gov/bmi/adult-calculator/index.html | https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator | https://www.bankrate.com/calculators.aspx | https://wise.com/us/currency-converter/ | https://www.zoho.com/books/gst-calculator/ | https://moneysmart.gov.au/budgeting/compound-interest-calculator,"Create a localized SEO block with examples, common use cases, limitations, and links to related tools. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive calculator query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""boliglan beregner online"" and ""boliglan beregner formel"" only where natural."
P1,https://anyconverter.io/da/age-calculator/,da\age-calculator\index.html,da,calculator,0,31,11.55,Aldersberegner Online Gratis | AnyConverter,Aldersberegner,453,alder beregner,beregn alder; hvor gammel er jeg; fodselsdato beregner,"Calculator SERPs reward pages with visible formulas, worked examples, definitions, country/unit variations, and trustworthy explanations around the calculator.","Calculator.net, Omni Calculator, Mayo Clinic, CDC/NHLBI, Bankrate, Investor.gov, Wise, Zoho, Moneysmart, Nordea",https://www.calculator.net/ | https://www.omnicalculator.com/ | https://www.mayoclinic.org/healthy-lifestyle/weight-loss/in-depth/calorie-calculator/itt-20402304 | https://www.cdc.gov/bmi/adult-calculator/index.html | https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator | https://www.bankrate.com/calculators.aspx | https://wise.com/us/currency-converter/ | https://www.zoho.com/books/gst-calculator/ | https://moneysmart.gov.au/budgeting/compound-interest-calculator,"Create a localized SEO block with examples, common use cases, limitations, and links to related tools. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive calculator query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""alder beregner online"" and ""alder beregner formel"" only where natural."
P1,https://anyconverter.io/da/countdown-timer/,da\countdown-timer\index.html,da,productivity,0,21,39.24,Nedtællingstimer Online Gratis | AnyConverter,Nedtællingstimer Online,313,nedtaelling online,timer online; stopur online; nedtaellingsur,"Productivity SERPs emphasize immediate use, saved state, focus/timer workflows, templates, reminders, and low-friction task capture.","Pomofocus, PomodoroTimer.online, TomatoTimers, vClock, Online Stopwatch, Habi, HabitBox, Structured, Canva, Any.do, Microsoft To Do, Todoist",https://pomofocus.io/ | https://www.pomodorotimer.online/ | https://www.tomatotimers.com/ | https://vclock.com/timer/ | https://vclock.com/stopwatch/ | https://www.online-stopwatch.com/ | https://habi.app/ | https://habitbox.app/ | https://structured.app/daily-planner | https://www.canva.com/planners/templates/daily/ | https://todoist.com/ | https://to-do.office.com/tasks/,"Create a localized SEO block with examples, common use cases, limitations, and links to related tools. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive productivity query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""nedtaelling online"" and ""nedtaelling online gratis"" only where natural."
P1,https://anyconverter.io/da/coin-flip/,da\coin-flip\index.html,da,random,0,19,13.11,Møntskast Online Gratis — Plat eller Krone | AnyConverter,Møntskast Online,296,plat eller krone online,kast en mont; coin flip; tilfaeldig montkast,"Randomizer SERPs favor playful but instant tools with probability/fairness notes, shareable results, list import/export, and task-specific variants.","Random.org, Calculator.net, Picker Wheel, Wheel of Names, Roll a Die, FlipSimu, AppSorteos, DnD Dice Roller",https://www.random.org/ | https://www.calculator.net/random-number-generator.html | https://pickerwheel.com/ | https://wheelofnames.com/ | https://rolladie.net/ | https://flipsimu.com/ | https://app-sorteos.com/en,"Create a localized SEO block with examples, common use cases, limitations, and links to related tools. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive random query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""plat eller krone online"" and ""plat eller krone online tilfaeldig"" only where natural."
P1,https://anyconverter.io/roman-numeral-converter/,roman-numeral-converter\index.html,en,text,0,15,27,Roman Numeral Converter Online Free | AnyConverter,Roman Numeral Converter,438,roman numeral converter,convert roman numerals; roman numbers converter; roman numeral calculator,"Text-tool SERPs rank pages that show the input box immediately, explain accepted formats, include examples, and use ""counter/converter/generator/checker"" intent words.","WordCounter.net, CharacterCountTool, Grammarly, WordCounter.io, ConvertCase, TitleCaseConverter, Diffchecker, Text-Compare",https://wordcounter.net/ | https://charactercounttool.com/ | https://www.grammarly.com/character-counter | https://convertcase.net/ | https://titlecaseconverter.com/ | https://www.diffchecker.com/text-compare/ | https://www.text-compare.com/,"Create a concise SEO block with examples, use cases, limitations, FAQs, and related-tool links. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive text query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""roman numeral converter online"" and ""roman numeral converter free"" only where natural."
P1,https://anyconverter.io/da/random-number-generator/,da\random-number-generator\index.html,da,random,0,11,7.82,Tilfældig Tal Generator Online Gratis | AnyConverter,Tilfældig Tal Generator,418,Tilfældig Tal Generator,Tilfældig Tal Generator online; Tilfældig Tal Generator tilfaeldig; Tilfældig Tal Generator retfaerdigt resultat,"Randomizer SERPs favor playful but instant tools with probability/fairness notes, shareable results, list import/export, and task-specific variants.","Random.org, Calculator.net, Picker Wheel, Wheel of Names, Roll a Die, FlipSimu, AppSorteos, DnD Dice Roller",https://www.random.org/ | https://www.calculator.net/random-number-generator.html | https://pickerwheel.com/ | https://wheelofnames.com/ | https://rolladie.net/ | https://flipsimu.com/ | https://app-sorteos.com/en,"Create a localized SEO block with examples, common use cases, limitations, and links to related tools. Keep the tool UI unchanged, but align title/H1/meta copy with the primary keyword. Current visible content is thin for a competitive random query. GSC already shows impressions, so prioritize CTR testing and request indexing after deployment. Add variants such as ""Tilfældig Tal Generator online"" and ""Tilfældig Tal Generator tilfaeldig"" only where natural."
