priority,url,file,language,page_type,in_sitemap,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,primary_keyword,supporting_keywords,title,title_length,meta_description_length,h1,word_count,issues,recommendations
P1,https://anyconverter.io/discount-calculator/,discount-calculator\index.html,en,tool,yes,0,506,0%,30.39,discount calculator,discount price; calculator discount; percentage calculator discount; calcul discount,Discount Calculator Online Free | AnyConverter,46,157,Discount Calculator,540,Thin visible content (540 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'discount calculator' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/tip-calculator/,es\tip-calculator\index.html,es,tool,yes,0,67,0%,28.01,calculadora de propinas,calculadora de propina,Calculadora de Propinas Online Gratis | AnyConverter,52,158,Calculadora de Propinas,585,Thin visible content (585 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'calculadora de propinas' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/sticky-notes/,es\sticky-notes\index.html,es,tool,yes,0,43,0%,14.16,notas adhesivas online,free online sticky notes; sticky note generator,Notas Adhesivas Online Gratis | AnyConverter,44,136,Notas Adhesivas Online,334,Thin visible content (334 words),"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/tip-calculator/,tip-calculator\index.html,en,tool,yes,0,41,0%,27.15,Tip Calculator,,Tip Calculator Online Free | AnyConverter,41,160,Tip Calculator,538,Thin visible content (538 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/todo-list/,da\todo-list\index.html,da,tool,yes,0,38,0%,21.16,opgaveliste,,Opgaveliste Online Gratis | AnyConverter,40,134,Opgaveliste Online,309,Thin visible content (309 words),"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/mortgage-calculator/,da\mortgage-calculator\index.html,da,tool,yes,0,34,0%,24.88,realkreditberegner,rente beregner,Realkreditberegner Online Gratis | AnyConverter,47,137,Realkreditberegner,464,Thin visible content (464 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'realkreditberegner' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/age-calculator/,da\age-calculator\index.html,da,tool,yes,0,31,0%,11.55,beregn alder,,Aldersberegner Online Gratis | AnyConverter,43,153,Aldersberegner,435,Thin visible content (435 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'beregn alder' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/countdown-timer/,da\countdown-timer\index.html,da,tool,yes,0,21,0%,39.24,timer nedtælling,online nedtælling; nedtælling,Nedtællingstimer Online Gratis | AnyConverter,45,133,Nedtællingstimer Online,309,Thin visible content (309 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'timer nedtælling' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/coin-flip/,da\coin-flip\index.html,da,tool,yes,0,19,0%,13.11,Møntskast   — Plat eller Krone,,Møntskast Online Gratis — Plat eller Krone | AnyConverter,57,129,Møntskast Online,286,Thin visible content (286 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,http://anyconverter.io/,,en,hub,no,1,17,5.88%,10.65,HTTPS canonical,,,,,,,HTTP variant appeared in GSC,Force HTTP to HTTPS in Cloudflare and validate the HTTPS page in GSC.
P1,https://anyconverter.io/roman-numeral-converter/,roman-numeral-converter\index.html,en,tool,yes,0,15,0%,27,converter online,,Roman Numeral Converter Online Free | AnyConverter,50,130,Roman Numeral Converter,443,Thin visible content (443 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'converter online' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,http://anyconverter.io/csv-query/,,en,tool,no,0,11,0%,35.45,HTTPS canonical,,,,,,,HTTP variant appeared in GSC,Force HTTP to HTTPS in Cloudflare and validate the HTTPS page in GSC.
P1,https://anyconverter.io/da/random-number-generator/,da\random-number-generator\index.html,da,tool,yes,0,11,0%,7.82,Tilfældig Tal Generator,,Tilfældig Tal Generator Online Gratis | AnyConverter,52,150,Tilfældig Tal Generator,411,Thin visible content (411 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,http://anyconverter.io/es/calorie-calculator/,,es,tool,no,0,10,0%,82.7,HTTPS canonical,,,,,,,HTTP variant appeared in GSC,Force HTTP to HTTPS in Cloudflare and validate the HTTPS page in GSC.
P1,https://anyconverter.io/habit-tracker/,habit-tracker\index.html,en,tool,yes,0,10,0%,21.9,habit tracker online,,Habit Tracker Online Free | AnyConverter,40,157,Habit Tracker Online,334,Thin visible content (334 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'habit tracker online' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/compound-interest-calculator/,es\compound-interest-calculator\index.html,es,tool,yes,0,8,0%,8.62,Calculadora de Interés Compuesto,,Calculadora de Interés Compuesto Online Gratis | AnyConverter,61,155,Calculadora de Interés Compuesto,588,Thin visible content (588 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/screen-resolution/,da\screen-resolution\index.html,da,tool,yes,1,6,16.67%,25.17,screen resolution checker,,Skærmopløsning Checker Online Gratis | AnyConverter,51,149,Skærmopløsning Checker,249,Thin visible content (249 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'screen resolution checker' naturally in the title/meta/H1 or first SEO section where it reads well."
P1,https://anyconverter.io/es/dead-pixel-checker/,es\dead-pixel-checker\index.html,es,tool,yes,0,6,0%,9.67,online dead pixel test,pixel checker; dead pixel online,Comprobador de Píxeles Muertos Online Gratis | AnyConverter,59,156,Comprobador de Píxeles Muertos,306,Thin visible content (306 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'online dead pixel test' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/habit-tracker/,es\habit-tracker\index.html,es,tool,yes,0,6,0%,9,habit tracker online,,Seguimiento de Hábitos Online Gratis | AnyConverter,51,130,Seguimiento de Hábitos Online,256,Thin visible content (256 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'habit tracker online' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/press/,press\index.html,en,support,yes,0,6,0%,10.5,Press Kit —,,Press Kit — AnyConverter,24,128,Press Kit,391,,Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment.
P1,https://anyconverter.io/random-picker/,random-picker\index.html,en,tool,yes,0,6,0%,25.67,Random Picker   — Pick Random Items,,Random Picker Online Free — Pick Random Items | AnyConverter,60,146,Random Picker Online,253,Thin visible content (253 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/da/password-generator/,da\password-generator\index.html,da,tool,yes,0,5,0%,39.2,kodegenerator,,Adgangskodegenerator Online Gratis | AnyConverter,49,155,Adgangskodegenerator,407,Thin visible content (407 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'kodegenerator' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/meeting-timer/,es\meeting-timer\index.html,es,tool,yes,0,5,0%,8,agenda time,meeting agenda timer; meeting timer; timer meeting,Temporizador de Reuniones — Agenda con Tiempo | AnyConverter,60,143,Temporizador de Reuniones Online,300,Thin visible content (300 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'agenda time' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/scan-to-pdf/,es\scan-to-pdf\index.html,es,tool,yes,0,5,0%,18,escanear imagen a pdf,,Escanear a PDF — Imágenes a PDF Online Gratis | AnyConverter,60,154,Escanear a PDF,315,Thin visible content (315 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'escanear imagen a pdf' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,http://anyconverter.io/html-beautifier/,,en,tool,no,0,4,0%,53.5,HTTPS canonical,,,,,,,HTTP variant appeared in GSC,Force HTTP to HTTPS in Cloudflare and validate the HTTPS page in GSC.
P1,https://anyconverter.io/age-calculator/,age-calculator\index.html,en,tool,yes,0,4,0%,25.75,Age Calculator,,Age Calculator Online Free | AnyConverter,41,154,Age Calculator,422,Thin visible content (422 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/es/fancy-text-generator/,es\fancy-text-generator\index.html,es,tool,yes,0,4,0%,8,Generador de Texto Elegante,,Generador de Texto Elegante Online Gratis | AnyConverter,56,130,Generador de Texto Elegante,394,Thin visible content (394 words); No reliable matched GSC query data yet,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use the page title/URL as the primary keyword, then add examples and internal links to help Google understand the page. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
P1,https://anyconverter.io/security/,security\index.html,en,support,yes,0,4,0%,4.75,Security —,,Security — AnyConverter,23,150,Security at AnyConverter,466,,Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment.
P1,http://anyconverter.io/es/,,es,hub,no,0,3,0%,58.67,HTTPS canonical,,,,,,,HTTP variant appeared in GSC,Force HTTP to HTTPS in Cloudflare and validate the HTTPS page in GSC.
P1,https://anyconverter.io/da/monitor-color-test/,da\monitor-color-test\index.html,da,tool,yes,0,3,0%,17.33,monitor color test,color test monitor; farvetest; monitor a color; color test / monitor,Skærm Farvetest Online Gratis | AnyConverter,44,145,Skærm Farvetest,235,Thin visible content (235 words); Primary GSC keyword not fully aligned on-page,"Add a concise SEO section with use cases, examples, limitations, FAQs, and related-tool links. Use 'monitor color test' naturally in the title/meta/H1 or first SEO section where it reads well. Near-ranking page: prioritize CTR title/meta rewrite and request indexing after deployment."
