"url","status","bytes","title","title_len","meta_description","description_len","canonical","canonical_ok","noindex","robots_meta","schema_types"
"https://anyconverter.io/","200","53868","Free Online Converter Tools — JSON, PDF, Image &amp; More | AnyConverter","72","AnyConverter offers 78+ free online tools. Format JSON, convert images, merge PDFs, track habits, roll dice, pick teams and more. No signup, 100% private, works in your browser.","177","https://anyconverter.io/","True","False","index, follow","SearchAction|WebSite"
"https://anyconverter.io/about/","200","10013","About Us — AnyConverter | Free Online Tools","43","AnyConverter provides 78+ free online tools for developers, students and everyday users. No signup, no uploads — everything runs 100% in your browser.","150","https://anyconverter.io/about/","True","False","index, follow","AboutPage|Organization"
"https://anyconverter.io/add-page-numbers/","200","10744","Add Page Numbers to PDF Online Free | AnyConverter","50","Add page numbers to any PDF online for free. Choose position, font size, starting number and prefix. Download instantly. No signup, 100% in your browser.","153","https://anyconverter.io/add-page-numbers/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/add-watermark/","200","10775","Add Watermark to PDF Online Free | AnyConverter","47","Add a text watermark to any PDF online for free. Choose position, font size, opacity and colour. Download instantly. No signup, 100% in your browser.","149","https://anyconverter.io/add-watermark/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/age-calculator/","200","12079","Age Calculator Online Free | AnyConverter","41","Calculate your exact age in years, months, and days online for free. Find total days lived and days until your next birthday. Instant, no signup required.","154","https://anyconverter.io/age-calculator/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/ascii-art-generator/","200","11831","ASCII Art Generator Online Free | AnyConverter","46","Generate ASCII art text online for free. Convert any text into large block letter ASCII art. Choose your fill character and scale. Copy and paste anywhere. Free, no signup.","172","https://anyconverter.io/ascii-art-generator/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/aspect-ratio-calculator/","200","14549","Aspect Ratio Calculator Online Free | AnyConverter","50","Calculate aspect ratios and scale dimensions while preserving the ratio. Convert any width/height pair, use preset ratios (16:9, 4:3, 1:1), and get the scaled result instantly.","176","https://anyconverter.io/aspect-ratio-calculator/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/base64-encoder/","200","15047","Base64 Encoder &amp; Decoder Online — Free | AnyConverter","57","Encode and decode Base64 online. Convert text or files to Base64 and back. Free, instant, no server upload. Supports Unicode text and all file types.","149","https://anyconverter.io/base64-encoder/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/blog/","200","10275","Blog — Tips, Guides &amp; Updates | AnyConverter","48","The AnyConverter blog. Tips and guides for using our free online tools, how-to articles for developers and everyday users, and product updates.","143","https://anyconverter.io/blog/","True","False","index, follow",""
"https://anyconverter.io/blood-type-compatibility/","200","11999","Blood Type Compatibility Checker Online Free | AnyConverter","59","Check blood type compatibility for blood transfusions. See which blood types you can donate to and receive from. Includes universal donor and recipient info. Free online tool.","175","https://anyconverter.io/blood-type-compatibility/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/bmi-calculator/","200","12931","BMI Calculator Online Free | AnyConverter","41","Calculate your Body Mass Index (BMI) online for free. Supports metric (kg/cm) and imperial (lb/in). Get your BMI score and weight category instantly.","149","https://anyconverter.io/bmi-calculator/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/browser-info/","200","8857","Browser Info Viewer Online Free | AnyConverter","46","View detailed information about your browser, OS, screen, and hardware online for free. See browser name, version, OS, language, screen resolution, CPU cores and more.","167","https://anyconverter.io/browser-info/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/calorie-calculator/","200","15123","Calorie Calculator Online Free | AnyConverter","45","Calculate your daily calorie needs (TDEE) and BMR online for free. Get calorie targets for weight loss or gain based on age, gender, height, weight and activity level.","167","https://anyconverter.io/calorie-calculator/","True","False","index, follow","Offer|Organization|WebApplication"
"https://anyconverter.io/character-counter/","200","11307","Character Counter Online Free | AnyConverter","44","Count characters, words, lines, and bytes in your text instantly. Check against platform limits for Twitter, LinkedIn, Instagram, and more. Free online character counter.","170","https://anyconverter.io/character-counter/","True","False","index, follow","Offer|Organization|WebApplication"
