Date,Not indexed,Indexed,Impressions
2026-07-10,1,0,0
2026-07-11,172,178,0
2026-07-12,172,178,0
2026-07-13,172,178,1
2026-07-14,172,178,6
2026-07-15,172,178,87
2026-07-16,172,178,34
2026-07-17,172,178,6
2026-07-18,172,178,12
2026-07-19,172,178,31
2026-07-20,172,178,40
2026-07-21,172,178,20
2026-07-22,172,178,43
2026-07-23,172,178,68
2026-07-24,172,178,83
2026-07-25,54,300,44
2026-07-26,54,300,38
2026-07-27,54,300,49
2026-07-28,54,300,178
2026-07-29,54,300,154
2026-07-30,54,300,119
2026-07-31,54,300,86
2026-08-01,54,300,141
2026-08-02,54,300,358
2026-08-03,54,300,234
2026-08-04,54,300,269
2026-08-05,54,300,456
2026-08-06,43,311,289
2026-08-07,43,311,311
2026-08-08,41,313,181
2026-08-09,41,313,244
2026-08-10,41,313,231
2026-08-11,40,314,296
2026-08-12,40,314,626
2026-08-13,40,314,832
2026-08-14,40,314,580
2026-08-15,32,322,235
2026-08-16,32,322,7
2026-08-17,32,322,6
