Country,Clicks,Impressions,CTR,Position
Denmark,1,936,0.11%,61.88
United States,1,752,0.13%,71.7
Mexico,1,192,0.52%,65.09
Australia,1,25,4%,61.28
Taiwan,1,3,33.33%,6.33
Madagascar,1,1,100%,1
Spain,0,974,0%,72.18
India,0,361,0%,73.72
Colombia,0,246,0%,76.93
United Kingdom,0,229,0%,63.17
Peru,0,178,0%,73.95
Indonesia,0,174,0%,71.56
Philippines,0,170,0%,66.38
Chile,0,149,0%,73.83
Argentina,0,126,0%,63.33
Canada,0,107,0%,74.9
Malaysia,0,98,0%,70.45
Turkey,0,95,0%,66.93
United Arab Emirates,0,87,0%,76.05
France,0,85,0%,67.32
Vietnam,0,82,0%,59.8
Pakistan,0,72,0%,56.92
Ecuador,0,72,0%,75.47
Bangladesh,0,70,0%,62.83
Italy,0,67,0%,65.43
Thailand,0,63,0%,29.25
Saudi Arabia,0,52,0%,70.31
Israel,0,45,0%,43.56
Russia,0,44,0%,61.57
Morocco,0,41,0%,64.78
Ukraine,0,38,0%,49.84
Netherlands,0,33,0%,57.12
Germany,0,32,0%,53.41
Brazil,0,31,0%,51.9
Algeria,0,31,0%,71.16
Greece,0,25,0%,27.96
Panama,0,22,0%,69.86
Venezuela,0,20,0%,60.4
Kenya,0,20,0%,77.05
Guatemala,0,19,0%,68.89
Poland,0,18,0%,34.67
Costa Rica,0,18,0%,66.94
Sri Lanka,0,18,0%,81.39
Nigeria,0,17,0%,61.06
Hungary,0,16,0%,8.69
El Salvador,0,16,0%,71.81
Norway,0,15,0%,55.13
Jordan,0,15,0%,60.6
Japan,0,14,0%,42.43
Honduras,0,13,0%,64.08
Singapore,0,13,0%,66.54
Uruguay,0,13,0%,80.23
Bolivia,0,13,0%,81.92
Nepal,0,13,0%,83.46
Tunisia,0,12,0%,31.42
Egypt,0,12,0%,49.67
Lebanon,0,12,0%,70.17
South Africa,0,12,0%,78.58
Dominican Republic,0,11,0%,30.36
Romania,0,11,0%,51
Cambodia,0,11,0%,68.36
South Korea,0,10,0%,23.8
Iraq,0,10,0%,37
Belgium,0,10,0%,51.4
Paraguay,0,10,0%,80.7
Sweden,0,9,0%,26.78
Kuwait,0,9,0%,30.11
Qatar,0,9,0%,53.56
Portugal,0,8,0%,49.88
Ireland,0,7,0%,42.71
Luxembourg,0,7,0%,79.86
Austria,0,6,0%,26
Armenia,0,6,0%,55.67
Hong Kong,0,6,0%,63.17
Switzerland,0,6,0%,69
Andorra,0,6,0%,73
Puerto Rico,0,6,0%,78.67
Finland,0,5,0%,57.8
Myanmar (Burma),0,5,0%,62.6
Trinidad & Tobago,0,5,0%,70.4
New Zealand,0,5,0%,77.8
Ghana,0,5,0%,78.8
Jamaica,0,4,0%,23.5
Bahrain,0,4,0%,25.75
Georgia,0,4,0%,42
Afghanistan,0,4,0%,55.25
Cyprus,0,4,0%,55.25
Lithuania,0,4,0%,62
Nicaragua,0,4,0%,63.25
Serbia,0,4,0%,65.5
Brunei,0,3,0%,6
Slovakia,0,3,0%,6
Czechia,0,3,0%,6.33
Syria,0,3,0%,9
Moldova,0,3,0%,34.67
Uganda,0,3,0%,62
Bulgaria,0,3,0%,76
Oman,0,3,0%,80.67
Libya,0,2,0%,7.5
Albania,0,2,0%,8
Kazakhstan,0,2,0%,11
Tanzania,0,2,0%,44
Cape Verde,0,2,0%,47
Slovenia,0,2,0%,66.5
Latvia,0,2,0%,73
Namibia,0,2,0%,75
Palestine,0,2,0%,86.5
Estonia,0,2,0%,87.5
Malta,0,2,0%,90
Macau,0,1,0%,5
Sint Maarten,0,1,0%,7
Cuba,0,1,0%,8
Iran,0,1,0%,8
Zambia,0,1,0%,9
Maldives,0,1,0%,10
Rwanda,0,1,0%,76
Croatia,0,1,0%,81
Iceland,0,1,0%,81
Macedonia,0,1,0%,82
Belize,0,1,0%,91
Uzbekistan,0,1,0%,94
